YEAR,TOURNAMENT NAME,GROUP,TEAM NAME,TEAM_ID,MATCH PLAYED,WIN,DRAW,LOSS,GF,GA,GD,POINTS,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP B,Chile,T-13,3,2,0,1,5,3,2,4,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP B,Italy,T-40,3,1,1,1,3,2,1,3,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP B,Switzerland,T-74,3,0,0,3,2,8,-6,0,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP C,Hungary,T-34,3,2,1,0,8,2,6,5,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP C,England,T-27,3,1,1,1,4,3,1,3,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP C,Argentina,T-3,3,1,1,1,2,3,-1,3,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP C,Bulgaria,T-10,3,0,1,2,1,7,-6,1,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP D,Brazil,T-9,3,2,1,0,4,1,3,5,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP D,Czechoslovakia,T-20,3,1,2,0,3,2,1,4,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP D,Mexico,T-45,3,1,0,2,3,4,-1,2,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP D,Spain,T-72,3,0,1,2,1,4,-3,1,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP A,England,T-27,3,2,1,0,4,0,4,5,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP A,Uruguay,T-82,3,1,2,0,2,1,1,4,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP A,Mexico,T-45,3,0,2,1,1,3,-2,2,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP A,France,T-28,3,0,1,2,2,5,-3,1,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP B,West Germany,T-85,3,2,1,0,7,1,6,5,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP B,Argentina,T-3,3,2,1,0,4,1,3,5,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP B,Spain,T-72,3,1,0,2,4,5,-1,2,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP B,Switzerland,T-74,3,0,0,3,1,9,-8,0,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP C,Portugal,T-57,3,3,0,0,9,2,7,6,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP C,Hungary,T-34,3,2,0,1,7,5,2,4,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP C,Brazil,T-9,3,1,0,2,4,6,-2,2,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP C,Bulgaria,T-10,3,0,0,3,1,8,-7,0,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP D,Soviet Union,T-71,3,3,0,0,6,1,5,6,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP D,North Korea,T-50,3,1,1,1,2,4,-2,3,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP D,Italy,T-40,3,1,0,2,2,2,0,2,,,,,,,,,
1966,1966 FIFA Men's World Cup,GROUP D,Chile,T-13,3,0,1,2,2,5,-3,1,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP A,West Germany,T-85,3,3,0,0,10,4,6,6,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP A,Peru,T-55,3,2,0,1,7,5,2,4,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP A,Bulgaria,T-10,3,0,1,2,5,9,-4,1,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP A,Morocco,T-46,3,0,1,2,2,6,-4,1,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP B,Soviet Union,T-71,3,2,1,0,6,1,5,5,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP B,Mexico,T-45,3,2,1,0,5,0,5,5,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP B,Belgium,T-6,3,1,0,2,4,5,-1,2,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP B,El Salvador,T-26,3,0,0,3,0,9,-9,0,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP C,Brazil,T-9,3,3,0,0,8,3,5,6,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP C,England,T-27,3,2,0,1,2,1,1,4,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP C,Romania,T-60,3,1,0,2,4,5,-1,2,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP C,Czechoslovakia,T-20,3,0,0,3,2,7,-5,0,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP D,Italy,T-40,3,1,2,0,1,0,1,4,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP D,Uruguay,T-82,3,1,1,1,2,1,1,3,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP D,Sweden,T-73,3,1,1,1,2,2,0,3,,,,,,,,,
1970,1970 FIFA Men's World Cup,GROUP D,Israel,T-39,3,0,2,1,1,3,-2,2,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP A,East Germany,T-23,3,2,1,0,4,1,3,5,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP A,West Germany,T-85,3,2,0,1,4,1,3,4,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP A,Chile,T-13,3,0,2,1,1,2,-1,2,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP A,Australia,T-4,3,0,1,2,0,5,-5,1,,,,,,,,,
