TEAM_ID,TEAM_NAME,TEAM_CODE,IMAGE_URL
T-73,Sweden,SWE,https://tse4.mm.bing.net/th/id/OIP.qkUrMRc3ayMPvEb5wRNYVwHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-74,Switzerland,CHE,https://static.vecteezy.com/system/resources/previews/016/016/813/large_2x/switzerland-flag-free-png.png
T-75,Togo,TGO,https://tse1.mm.bing.net/th/id/OIP.O7IjV9Fgfv4SMgIZ-Lq_OgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-76,Trinidad & Tobago,TTO,https://flagpedia.net/data/flags/w1600/tt.png
T-77,Tunisia,TUN,https://www.flagcolorcodes.com/data/National-Flag-of-Tunisia.png
T-78,Turkey,TUR,https://static.vecteezy.com/system/resources/previews/015/724/001/large_2x/turkey-flag-national-flag-of-turkey-free-png.png
T-79,Ukraine,UKR,https://tse1.mm.bing.net/th/id/OIP.7VuDkNZbEPosiuY5djHrEwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-80,United Arab Emirates,ARE,https://i.pinimg.com/originals/f5/ea/7f/f5ea7fb6ae1a02b5c6fd01a52e90f525.png
T-81,UNITED STATES,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/3840px-Flag_of_the_United_States.svg.png
T-82,Uruguay,URY,https://static.vecteezy.com/system/resources/previews/029/748/826/non_2x/uruguay-flag-flag-of-uruguay-uruguay-flag-illustration-uruguayan-background-vector.jpg
T-83,USSR,USSR,https://static.vecteezy.com/system/resources/previews/017/141/361/non_2x/flag-of-the-ussr-in-flat-style-for-printing-and-design-illustration-vector.jpg
T-84,Wales,WAL,https://img.freepik.com/premium-vector/wales-flag-official-colors-vector-illustration_601298-4698.jpg?w=1380
T-85,West Germany,DEU,https://blog.flagwix.com/wp-content/uploads/2025/07/germany-flag-4.jpg
T-86,Yugoslavia,YUG,https://kids.kiddle.co/images/thumb/6/61/Flag_of_Yugoslavia_(1946-1992).svg/800px-Flag_of_Yugoslavia_(1946-1992).svg.png
T-87,Zaire,COD,https://tse2.mm.bing.net/th/id/OIP.OqbJde-Eu2x_MUm3kvgmfwHaFS?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
